STATE_NAME,HOUSE_OF_PARLIAMENT,TENURE,Sno,MP_NAME,HOUSE_NAME,CONSTITUENCY,ALLOCATED_AMT,TENURE_START_DATE,TENURE_END_DATE,Total_Amt,allocated_amount,state,constituency,mp_name,work_id,work_recommendation_dtl_id
Jammu And Kashmir,2,18th Lok Sabha,13.0,AGA SYED RUHULLAH MEHDI,Lok Sabha,SRINAGAR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Jammu And Kashmir,SRINAGAR,AGA SYED RUHULLAH MEHDI,,
Uttarakhand,2,18th Lok Sabha,14.0,Ajay Bhatt,Lok Sabha,NAINITAL UDHAM SINGH NAG.,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Ajay Bhatt,,
Bihar,2,18th Lok Sabha,15.0,Ajay Kumar Mandal,Lok Sabha,BHAGALPUR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Bihar,BHAGALPUR,Ajay Kumar Mandal,,
Uttarakhand,2,18th Lok Sabha,16.0,Ajay Tamta,Lok Sabha,ALMORA(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttarakhand,ALMORA(SC),Ajay Tamta,,
Uttar Pradesh,2,18th Lok Sabha,17.0,AJENDRA SINGH LODHI,Lok Sabha,HAMIRPUR_UP,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 4, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,HAMIRPUR_UP,AJENDRA SINGH LODHI,,
Uttar Pradesh,2,18th Lok Sabha,18.0,AKHILESH YADAV,Lok Sabha,KANNAUJ,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,KANNAUJ,AKHILESH YADAV,,
Uttar Pradesh,2,18th Lok Sabha,19.0,AKSHAYA YADAV,Lok Sabha,FIROZABAD,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,FIROZABAD,AKSHAYA YADAV,,
Manipur,2,18th Lok Sabha,20.0,ALFRED KANNGAM S ARTHUR,Lok Sabha,OUTER MANIPUR(ST),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Manipur,OUTER MANIPUR(ST),ALFRED KANNGAM S ARTHUR,,
Bihar,2,18th Lok Sabha,21.0,Alok Kumar Suman,Lok Sabha,GOPALGANJ (SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Bihar,GOPALGANJ (SC),Alok Kumar Suman,,
Madhya Pradesh,2,18th Lok Sabha,22.0,ALOK SHARMA,Lok Sabha,BHOPAL,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Madhya Pradesh,BHOPAL,ALOK SHARMA,,
Maharashtra,2,18th Lok Sabha,23.0,AMAR SHARADRAO KALE,Lok Sabha,WARDHA,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Maharashtra,WARDHA,AMAR SHARADRAO KALE,,
Assam,2,18th Lok Sabha,24.0,AMARSING TISSO,Lok Sabha,Diphu (ST),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Assam,Diphu (ST),AMARSING TISSO,,
Andhra Pradesh,2,18th Lok Sabha,25.0,AMBICA G LAKSHMINARAYANA VALMIKI,Lok Sabha,ANANTAPUR,201899064.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,201976328.03,Andhra Pradesh,ANANTAPUR,AMBICA G LAKSHMINARAYANA VALMIKI,,
Maharashtra,2,18th Lok Sabha,26.0,Amol Ramsing Kolhe,Lok Sabha,SHIRUR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Maharashtra,SHIRUR,Amol Ramsing Kolhe,,
Rajasthan,2,18th Lok Sabha,27.0,AMRARAM,Lok Sabha,SIKAR,165691544.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,165754951.92,Rajasthan,SIKAR,AMRARAM,,
Punjab,2,18th Lok Sabha,28.0,AMRINDER SINGH RAJA WARRING,Lok Sabha,LUDHIANA,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Punjab,LUDHIANA,AMRINDER SINGH RAJA WARRING,,
Uttar Pradesh,2,18th Lok Sabha,29.0,ANAND BHADAURIYA,Lok Sabha,DHAURAHRA,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,DHAURAHRA,ANAND BHADAURIYA,,
Uttar Pradesh,2,18th Lok Sabha,30.0,ANAND KUMAR,Lok Sabha,BAHRAICH(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 4, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,BAHRAICH(SC),ANAND KUMAR,,
Odisha,2,18th Lok Sabha,31.0,ANANTA NAYAK,Lok Sabha,KEONJHAR(ST),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Odisha,KEONJHAR(ST),ANANTA NAYAK,,
Tamil Nadu,2,18th Lok Sabha,32.0,Andimuthu Raja,Lok Sabha,NILGIRIS(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Tamil Nadu,NILGIRIS(SC),Andimuthu Raja,,
Meghalaya,2,18th Lok Sabha,33.0,ANDREW J. SYNGKON,Lok Sabha,SHILLONG,98000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,98037503.21,Meghalaya,SHILLONG,ANDREW J. SYNGKON,,
Manipur,2,18th Lok Sabha,34.0,ANGOMCHA BIMOL AKOIJAM,Lok Sabha,INNER MANIPUR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Manipur,INNER MANIPUR,ANGOMCHA BIMOL AKOIJAM,,
Uttarakhand,2,18th Lok Sabha,35.0,ANIL BALUNI,Lok Sabha,GARHWAL,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttarakhand,GARHWAL,ANIL BALUNI,,
Maharashtra,2,18th Lok Sabha,36.0,ANIL YESHWANT DESAI,Lok Sabha,MUMBAI SOUTH CENTRAL,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Maharashtra,MUMBAI SOUTH CENTRAL,ANIL YESHWANT DESAI,,
Madhya Pradesh,2,18th Lok Sabha,37.0,ANITA NAGARSINGH CHOUHAN,Lok Sabha,RATLAM(ST),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Madhya Pradesh,RATLAM(ST),ANITA NAGARSINGH CHOUHAN,,
Odisha,2,18th Lok Sabha,38.0,ANITA SUBHADARSHINI,Lok Sabha,ASKA,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 12:00:00 AM",,147056254.82,Odisha,ASKA,ANITA SUBHADARSHINI,,
