"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"39048","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2025-2026/175500","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","06-Aug-2025","GRAM PANCHAYAT GHANSORE","Payment Success","200000"
"39049","Telangana","Construction of community centers and community halls","WS/MP761/2025-2026/153907","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","29-May-2025","Ganta Rajeshwar","Payment Success","400000"
"39050","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP574/2026-2027/276749","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Bharatsinhji Shankarji Dabhi","PATAN","21-Aug-2026","VARASADA GRAM PANCHAYAT","Payment Success","300000"
"39051","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP574/2025-2026/188430","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Bharatsinhji Shankarji Dabhi","PATAN","29-May-2025","VARASADA GRAM PANCHAYAT","Payment Success","300000"
"39052","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP588/2024-2025/151158","DEVBHUMI DWARKA(DISTRICT COLLECTOR DEVBHUMI DWARKA_IDA)","Smt Poonamben Hematbhai Maadam","JAMNAGAR","29-May-2025","BHENKVAD GRAM PANCHAYAT","Payment Success","298400"
"39053","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/189593","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","15-Jun-2026","shri Ganpati Tiles Matti","Payment Success","45600"
"39054","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/189593","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","15-Jun-2026","shri Ganpati Tiles Matti","Payment Success","45600"
"39055","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/189593","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","15-Jun-2026","shri Ganpati Tiles Matti","Payment Success","45600"
"39056","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/189593","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","15-Jun-2026","shri Ganpati Tiles Matti","Payment Success","34200"
"39057","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/189593","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","15-Jun-2026","shri Ganpati Tiles Matti","Payment Success","18810"
"39058","Punjab","Fitting of Sitting RCC Benches in Public Places","WS/MP18314/2025-2026/219331","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","11-Feb-2026","shri Ganpati Tiles Matti","Payment Success","28000"
"39059","Punjab","Fitting of Sitting RCC Benches in Public Places","WS/MP18314/2025-2026/219331","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","11-Feb-2026","shri Ganpati Tiles Matti","Payment Success","24500"
"39060","Punjab","Fitting of Sitting RCC Benches in Public Places","WS/MP18314/2025-2026/214344","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","11-Feb-2026","shri Ganpati Tiles Matti","Payment Success","17500"
"39061","Punjab","Fitting of Sitting RCC Benches in Public Places","WS/MP18314/2025-2026/219254","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","29-Jan-2026","shri Ganpati Tiles Matti","Payment Success","35000"
"39062","Punjab","Fitting of Sitting RCC Benches in Public Places","WS/MP18314/2025-2026/219254","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","29-Jan-2026","shri Ganpati Tiles Matti","Payment Success","17500"
"39063","Punjab","Fitting of Sitting RCC Benches in Public Places","WS/MP18314/2025-2026/219257","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","29-Jan-2026","shri Ganpati Tiles Matti","Payment Success","35000"
"39064","Punjab","Fitting of Sitting RCC Benches in Public Places","WS/MP18314/2025-2026/219257","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","29-Jan-2026","shri Ganpati Tiles Matti","Payment Success","35000"
"39065","Punjab","Fitting of Sitting RCC Benches in Public Places","WS/MP18314/2025-2026/219257","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","29-Jan-2026","shri Ganpati Tiles Matti","Payment Success","35000"
