"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"18174","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18169/2025-2026/197009","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","05-Jan-2026","MOHAMMAD SHARIF","Payment Success","9100"
"18175","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18169/2025-2026/197009","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","05-Jan-2026","NISHAD BEGAM","Payment Success","2100"
"18176","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18169/2025-2026/197009","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","05-Jan-2026","MUSHAHID NURI","Payment Success","9100"
"18177","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18169/2025-2026/197009","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","05-Jan-2026","JUNED KHAN","Payment Success","3900"
"18178","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18169/2025-2026/197009","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","05-Jan-2026","JAVED HAMEED SHEIKH","Payment Success","9100"
"18179","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18169/2025-2026/197009","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","05-Jan-2026","JAVED MIRZA","Payment Success","9100"
"18180","Telangana","Construction of community centers and community halls","WS/MP761/2025-2026/192186","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","30-Dec-2025","Margam Mahender","Payment Success","400000"
"18181","Telangana","Construction of community centers and community halls","WS/MP761/2025-2026/192187","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","30-Dec-2025","Margam Mahender","Payment Success","400000"
"18182","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18169/2025-2026/197009","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","05-Jan-2026","SAHIL RAZZA","Payment Success","3900"
"18183","Tamil Nadu","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP756/2025-2026/170387","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","19-May-2026","Vijayaseelan","Payment Success","321379"
"18184","Tamil Nadu","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP756/2025-2026/170387","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","26-Dec-2025","Vijayaseelan","Payment Success","275785"
"18185","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/222408","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","17-Dec-2025","Gram Panchayat Maman Banandar","Payment Success","70000"
"18186","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP18100/2025-2026/186780","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","BUNTY VIVEK SAHU","CHHINDWARA","16-Dec-2025","MAA NARMADA CONSTRUCTION","Payment Success","502265"
"18187","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP18100/2025-2026/186780","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","BUNTY VIVEK SAHU","CHHINDWARA","25-Aug-2026","MAA NARMADA CONSTRUCTION","Payment Success","497735"
"18188","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP18100/2025-2026/197421","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","BUNTY VIVEK SAHU","CHHINDWARA","16-Dec-2025","VIJAY SAHU","Payment Success","300000"
"18189","Chhattisgarh","Purchase of mobile water tankers","WS/MP18048/2025-2026/195647","KONDAGAON(DISTRICT COLLECTOR KONDAGAON_IDA)","MAHESH KASHYAP","BASTAR(ST)","01-Jan-2026","GRAM PANCHAYAT MUNGAWAL","Payment Success","130000"
"18190","Chhattisgarh","Purchase of mobile water tankers","WS/MP18048/2025-2026/195646","KONDAGAON(DISTRICT COLLECTOR KONDAGAON_IDA)","MAHESH KASHYAP","BASTAR(ST)","20-May-2026","GRAM PANCHAYAT NAGARI SWACH BHARAT MISSION YOJANA","Payment Success","130000"
"18191","Andhra Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18014/2024-2025/167509","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","PRABHAKAR REDDY VEMIREDDY","NELLORE(SC)","13-Jan-2026","NIDIMUSALI VENU GOPAL REDDY","Payment Success","491795"
"18192","Uttar Pradesh","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18352/2025-2026/228325","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","19-Dec-2025","HARSH ENTERPRISES","Payment Success","200000"
"18193","Uttar Pradesh","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18208/2025-2026/266665","BASTI(DISTRICT MAGISTRATE BASTI_IDA)","RAM PRASAD CHAUDHARY","BASTI","19-Feb-2026","HARSH ENTERPRISES","Payment Success","19500"
"18194","Uttar Pradesh","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18208/2025-2026/266667","BASTI(DISTRICT MAGISTRATE BASTI_IDA)","RAM PRASAD CHAUDHARY","BASTI","19-Feb-2026","HARSH ENTERPRISES","Payment Success","19500"
"18195","Uttar Pradesh","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18208/2025-2026/266668","BASTI(DISTRICT MAGISTRATE BASTI_IDA)","RAM PRASAD CHAUDHARY","BASTI","19-Feb-2026","HARSH ENTERPRISES","Payment Success","19500"
"18196","Uttar Pradesh","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18208/2025-2026/266662","BASTI(DISTRICT MAGISTRATE BASTI_IDA)","RAM PRASAD CHAUDHARY","BASTI","19-Feb-2026","HARSH ENTERPRISES","Payment Success","19500"
"18197","Uttar Pradesh","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18208/2025-2026/266664","BASTI(DISTRICT MAGISTRATE BASTI_IDA)","RAM PRASAD CHAUDHARY","BASTI","19-Feb-2026","HARSH ENTERPRISES","Payment Success","19500"
"18198","Uttar Pradesh","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18208/2025-2026/266670","BASTI(DISTRICT MAGISTRATE BASTI_IDA)","RAM PRASAD CHAUDHARY","BASTI","19-Feb-2026","HARSH ENTERPRISES","Payment Success","19500"
"18199","Uttar Pradesh","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18208/2025-2026/266671","BASTI(DISTRICT MAGISTRATE BASTI_IDA)","RAM PRASAD CHAUDHARY","BASTI","19-Feb-2026","HARSH ENTERPRISES","Payment Success","19500"
"18200","Uttar Pradesh","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18208/2025-2026/266672","BASTI(DISTRICT MAGISTRATE BASTI_IDA)","RAM PRASAD CHAUDHARY","BASTI","19-Feb-2026","HARSH ENTERPRISES","Payment Success","19500"
"18201","Gujarat","Construction of community centers and community halls","WS/MP588/2025-2026/202558","JAMNAGAR(DISTRICT COLLECTOR JAMNAGAR_IDA)","Smt Poonamben Hematbhai Maadam","JAMNAGAR","13-Apr-2026","SEVAK BHARUDIYA GRAM PANCHAYAT","Payment Success","499963"
"18202","Andhra Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18014/2025-2026/240931","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","PRABHAKAR REDDY VEMIREDDY","NELLORE(SC)","23-Feb-2026","SHAIK KALEEM","Payment Success","499714"
"18203","Chhattisgarh","Construction of buildings for community cultural activities","WS/MP429/2025-2026/205686","Gaurela-Pendra-Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","KORBA","19-Dec-2025","SARPANCH SACHIV GRAM PANCHAYAT SIVNI","Payment Success","100000"
"18204","Tamil Nadu","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18384/2025-2026/241498","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","SELVARAJ V","NAGAPATTINAM(SC)","18-Dec-2025","GMG ENGINEERING WORKS","Payment Success","200000"
"18205","Chhattisgarh","Construction of buildings for community cultural activities","WS/MP429/2025-2026/205684","Gaurela-Pendra-Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","KORBA","19-Dec-2025","SARPANCH SACHIV GRAM PANCHAYAT BADRAUDI","Payment Success","100000"
"18206","Assam","Construction of community centers and community halls","WS/MP538/2025-2026/223974","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Dilip Saikia","Darrang-Udalguri","26-Dec-2025","MS TASMIN HARDWARE7896377621","Payment Success","240000"
"18207","Assam","Construction of community centers and community halls","WS/MP538/2025-2026/223973","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Dilip Saikia","Darrang-Udalguri","18-Aug-2026","MS TASMIN HARDWARE7896377621","Payment Success","120000"
"18208","Assam","Construction of community centers and community halls","WS/MP538/2025-2026/223979","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Dilip Saikia","Darrang-Udalguri","18-Aug-2026","MS TASMIN HARDWARE7896377621","Payment Success","120000"
"18209","Assam","Construction of community centers and community halls","WS/MP538/2025-2026/223978","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Dilip Saikia","Darrang-Udalguri","18-Aug-2026","MS TASMIN HARDWARE7896377621","Payment Success","120000"
"18210","Assam","Construction of community centers and community halls","WS/MP538/2025-2026/223978","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Dilip Saikia","Darrang-Udalguri","19-Dec-2025","MS TASMIN HARDWARE7896377621","Payment Success","180000"
"18211","Assam","Construction of community centers and community halls","WS/MP538/2025-2026/223509","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Dilip Saikia","Darrang-Udalguri","05-Mar-2026","MS TASMIN HARDWARE7896377621","Payment Success","180000"
"18212","Assam","Construction of community centers and community halls","WS/MP538/2025-2026/223506","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Dilip Saikia","Darrang-Udalguri","05-Mar-2026","MS TASMIN HARDWARE7896377621","Payment Success","180000"
"18213","Assam","Construction of community centers and community halls","WS/MP538/2025-2026/223973","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Dilip Saikia","Darrang-Udalguri","05-Mar-2026","MS TASMIN HARDWARE7896377621","Payment Success","180000"
"18214","Assam","Construction of community centers and community halls","WS/MP538/2025-2026/223979","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Dilip Saikia","Darrang-Udalguri","05-Mar-2026","MS TASMIN HARDWARE7896377621","Payment Success","180000"
"18215","Assam","Construction of community centers and community halls","WS/MP538/2025-2026/223974","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Dilip Saikia","Darrang-Udalguri","02-Mar-2026","MS TASMIN HARDWARE7896377621","Payment Success","160000"
"18216","Assam","Construction of community centers and community halls","WS/MP538/2025-2026/226240","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Dilip Saikia","Darrang-Udalguri","25-Feb-2026","MS TASMIN HARDWARE7896377621","Payment Success","180000"
"18217","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP526/2025-2026/166439","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","26-Dec-2025","Sri V Sreekanth Reddy President VLWC Mahanandipalli","Payment Success","198331"
"18218","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/171701","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","24-Dec-2025","sawan negi","Payment Success","14640"
"18219","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18155/2025-2026/247635","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","18-Jun-2026","Kanwar Tile Factory","Payment Success","45600"
"18220","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18155/2025-2026/247635","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","18-Jun-2026","Kanwar Tile Factory","Payment Success","45600"
"18221","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18155/2025-2026/247635","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","18-Jun-2026","Kanwar Tile Factory","Payment Success","29250"
"18222","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18155/2025-2026/247635","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","18-Jun-2026","Kanwar Tile Factory","Payment Success","18600"
"18223","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18155/2025-2026/247635","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","18-Jun-2026","Kanwar Tile Factory","Payment Success","3500"
"18224","Tamil Nadu","Construction of community centers and community halls","WS/MP18181/2025-2026/222361","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","ESWARASAMY K","POLLACHI","29-Jan-2026","N ANANDHAKUMAR","Payment Success","869618"
"18225","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP18048/2025-2026/221722","KONDAGAON(DISTRICT COLLECTOR KONDAGAON_IDA)","MAHESH KASHYAP","BASTAR(ST)","03-Feb-2026","GRAM PANCHAYAT RANDHANA","Payment Success","250000"
"18226","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP18048/2025-2026/221721","KONDAGAON(DISTRICT COLLECTOR KONDAGAON_IDA)","MAHESH KASHYAP","BASTAR(ST)","03-Feb-2026","GRAM PANCHAYAT KATAGAON","Payment Success","250000"
"18227","Jharkhand","Construction of public toilets and bathrooms","WS/MP606/2025-2026/253817","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","27-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","214200"
"18228","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP606/2025-2026/253926","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","27-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","454125"
"18229","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP606/2025-2026/253927","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","27-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","544950"
"18230","Jharkhand","Construction of public toilets and bathrooms","WS/MP606/2025-2026/253928","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","27-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","214200"
"18231","Jharkhand","Installing tube-wells and borewells","WS/MP606/2025-2026/253929","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","27-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","217575"
"18232","Jharkhand","Construction of water tanks","WS/MP606/2025-2026/253930","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","27-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","152700"
"18233","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP606/2025-2026/253940","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","27-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","427875"
"18234","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP606/2025-2026/253939","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","27-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","513750"
"18235","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP606/2025-2026/253938","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","27-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","513750"
"18236","Jharkhand","Construction of community centers and community halls","WS/MP606/2025-2026/253937","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","27-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","508275"
"18237","Jharkhand","Construction of water tanks","WS/MP606/2025-2026/253931","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","27-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","152700"
"18238","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP606/2025-2026/253936","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","27-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","502500"
"18239","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP606/2025-2026/253935","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","27-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","454125"
"18240","Jharkhand","Construction of water tanks","WS/MP606/2025-2026/253932","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","27-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","152700"
"18241","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP606/2025-2026/253933","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","27-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","513750"
"18242","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP606/2025-2026/253993","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","363300"
"18243","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP606/2025-2026/253996","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","301500"
"18244","Jharkhand","Providing drains and gutters for public drainage","WS/MP606/2025-2026/253989","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","382950"
"18245","Jharkhand","Providing drains and gutters for public drainage","WS/MP606/2025-2026/253995","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","510600"
"18246","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP606/2025-2026/253991","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","363300"
"18247","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP606/2025-2026/253992","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","454125"
"18248","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP606/2025-2026/253984","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","317850"
"18249","Jharkhand","Construction of public toilets and bathrooms","WS/MP606/2025-2026/253944","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","214200"
"18250","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP606/2025-2026/253943","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","454125"
"18251","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP606/2025-2026/253942","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","454125"
"18252","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP606/2025-2026/253941","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","502500"
"18253","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP606/2025-2026/253994","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","513750"
"18254","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP606/2025-2026/253947","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","513750"
"18255","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP606/2025-2026/253948","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","454125"
"18256","Jharkhand","Providing drains and gutters for public drainage","WS/MP606/2025-2026/253934","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","638250"
"18257","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP606/2025-2026/253987","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","454125"
"18258","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP606/2025-2026/253985","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","454125"
"18259","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP606/2025-2026/253952","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","181650"
"18260","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP606/2025-2026/253951","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","150750"
"18261","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP606/2025-2026/253950","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","150750"
"18262","Jharkhand","Providing drains and gutters for public drainage","WS/MP606/2025-2026/253949","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","26-Dec-2025","KANHAIYA KUMAR SINGH","Payment Success","382950"
"18263","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP606/2025-2026/253807","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","03-Jan-2026","KANHAIYA KUMAR SINGH","Payment Success","454125"
"18264","Jharkhand","Construction of community centers and community halls","WS/MP606/2025-2026/253808","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","03-Jan-2026","KANHAIYA KUMAR SINGH","Payment Success","508275"
"18265","Jharkhand","Installing tube-wells and borewells","WS/MP606/2025-2026/253809","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","03-Jan-2026","KANHAIYA KUMAR SINGH","Payment Success","152700"
"18266","Jharkhand","Installing tube-wells and borewells","WS/MP606/2025-2026/253810","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","03-Jan-2026","KANHAIYA KUMAR SINGH","Payment Success","152700"
"18267","Jharkhand","Construction of community centers and community halls","WS/MP606/2025-2026/253811","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","03-Jan-2026","KANHAIYA KUMAR SINGH","Payment Success","409650"
"18268","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP606/2025-2026/253812","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","03-Jan-2026","KANHAIYA KUMAR SINGH","Payment Success","454125"
"18269","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP606/2025-2026/253813","EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA)","Bidyut Baran Mahato","JAMSHEDPUR","03-Jan-2026","KANHAIYA KUMAR SINGH","Payment Success","454125"
